datetime,o3,no2
2020-11-25T01:00:00,53.64,21.59
2020-11-25T02:00:00,48.64,26.73
2020-11-25T03:00:00,46.49,29.13
2020-11-25T04:00:00,48.64,25.36
2020-11-25T05:00:00,49.35,21.25
2020-11-25T06:00:00,50.07,18.17
2020-11-25T07:00:00,47.92,17.31
2020-11-25T08:00:00,42.56,18.17
2020-11-25T09:00:00,37.91,19.02
2020-11-25T10:00:00,34.69,19.19
2020-11-25T11:00:00,37.19,15.94
2020-11-25T12:00:00,47.92,12.51
2020-11-25T13:00:00,75.1,5.91
2020-11-25T14:00:00,76.53,6.77
2020-11-25T15:00:00,75.82,6.94
2020-11-25T16:00:00,72.96,6.26
2020-11-25T17:00:00,74.39,5.57
2020-11-25T18:00:00,72.24,5.06
2020-11-25T19:00:00,60.08,4.93
2020-11-25T20:00:00,57.22,5.83
2020-11-25T21:00:00,61.51,6.08
2020-11-25T22:00:00,64.37,6.86
2020-11-25T23:00:00,63.66,8.14
2020-11-26T00:00:00,62.23,9
2020-11-26T01:00:00,59.37,9.77
2020-11-26T02:00:00,55.79,10.71
2020-11-26T03:00:00,52.93,12.51
2020-11-26T04:00:00,47.92,14.22
2020-11-26T05:00:00,44.7,13.37
2020-11-26T06:00:00,43.99,10.88
2020-11-26T07:00:00,45.42,8.14
2020-11-26T08:00:00,48.64,5.83
2020-11-26T09:00:00,52.93,4.16
2020-11-26T10:00:00,55.79,3.38
2020-11-26T11:00:00,55.79,3.56
2020-11-26T12:00:00,56.51,4.88
2020-11-26T13:00:00,61.51,6.08
2020-11-26T14:00:00,62.94,6.51
2020-11-26T15:00:00,63.66,5.48
2020-11-26T16:00:00,68.67,4.11
2020-11-26T17:00:00,72.24,3.6
2020-11-26T18:00:00,75.1,3.47
2020-11-26T19:00:00,77.25,3.34
2020-11-26T20:00:00,77.96,3.51
2020-11-26T21:00:00,79.39,3.73
2020-11-26T22:00:00,77.96,4.93
2020-11-26T23:00:00,71.53,6.68
2020-11-27T00:00:00,63.66,9.17
2020-11-27T01:00:00,52.93,12.51
2020-11-27T02:00:00,40.77,15.94
2020-11-27T03:00:00,28.25,20.39
2020-11-27T04:00:00,17.7,23.31
2020-11-27T05:00:00,10.55,23.99
2020-11-27T06:00:00,6.08,23.99
2020-11-27T07:00:00,3.62,23.65
2020-11-27T08:00:00,3.44,22.62
2020-11-27T09:00:00,5.19,19.88
2020-11-27T10:00:00,7.24,17.14
2020-11-27T11:00:00,7.87,15.42
2020-11-27T12:00:00,5.63,16.45
2020-11-27T13:00:00,2.95,17.82
2020-11-27T14:00:00,4.16,15.42
2020-11-27T15:00:00,4.02,14.91
2020-11-27T16:00:00,7.06,13.2
2020-11-27T17:00:00,11.27,11.14
2020-11-27T18:00:00,13.77,11.14
2020-11-27T19:00:00,8.05,12.68
2020-11-27T20:00:00,1.97,13.02
2020-11-27T21:00:00,0.22,12.68
2020-11-27T22:00:00,0,12.68
2020-11-27T23:00:00,0,12.34
2020-11-28T00:00:00,0,12
2020-11-28T01:00:00,0,15.59
